,DateTime,Open,Close,High,Low,Volume,Money,Pre_Close,Change,Pct_Change,Aroon_up,Aroon_down,AROON,Signal
547,2007-12-05,4829.95,4965.95,4970.17,4815.61,3176916500.0,61090180313.0,4829.21,136.73999999999978,2.83,0.0,75.0,-75.0,
548,2007-12-06,4986.25,4971.06,4999.93,4928.13,2371159100.0,47436272917.0,4965.95,5.110000000000582,0.1,0.0,70.0,-70.0,
549,2007-12-07,4979.84,5041.35,5041.78,4977.87,2719822300.0,50380400719.0,4971.06,70.28999999999996,1.41,19.999999999999996,65.0,-45.0,
550,2007-12-10,4961.67,5133.56,5138.69,4944.83,4278069100.0,82898155954.0,5041.35,92.21000000000004,1.83,15.000000000000002,60.0,-45.0,
551,2007-12-11,5162.09,5140.0,5181.41,5068.03,4058645700.0,82034387462.0,5133.56,6.4399999999996,0.13,100.0,55.00000000000001,44.99999999999999,1.0
552,2007-12-12,5108.58,5077.39,5130.72,5033.72,3982825100.0,83753500021.0,5140.0,-62.60999999999967,-1.22,95.0,50.0,45.0,
553,2007-12-13,5051.78,4884.3,5067.39,4881.34,3681959000.0,77125151925.0,5077.39,-193.09000000000015,-3.8,90.0,44.99999999999999,45.00000000000001,1.0
554,2007-12-14,4827.39,4977.65,4979.19,4800.24,3072792500.0,61162569184.0,4884.3,93.34999999999945,1.91,85.0,40.0,45.0,
555,2007-12-17,4976.24,4857.29,4977.57,4855.17,3701452200.0,76935382730.0,4977.65,-120.35999999999967,-2.42,80.0,35.0,45.0,
556,2007-12-18,4827.26,4829.91,4882.99,4799.0,2293007600.0,47447352486.0,4857.29,-27.38000000000011,-0.56,75.0,30.000000000000004,45.0,
557,2007-12-19,4877.77,4946.28,4961.59,4865.35,3210185800.0,60379853503.0,4829.91,116.36999999999989,2.41,70.0,25.0,45.0,
558,2007-12-20,4968.03,5037.19,5048.06,4935.4,3131991700.0,59927497294.0,4946.28,90.90999999999985,1.84,65.0,19.999999999999996,45.0,
559,2007-12-21,5016.46,5101.85,5103.77,5014.7,3725149400.0,73549811301.0,5037.19,64.66000000000076,1.28,60.0,15.000000000000002,45.0,
560,2007-12-24,5142.16,5207.13,5239.22,5129.6,5031996700.0,103969755944.0,5101.85,105.27999999999975,2.06,100.0,9.999999999999998,90.0,1.0
561,2007-12-25,5217.56,5216.81,5244.03,5180.59,3897370500.0,79333659585.0,5207.13,9.680000000000291,0.19,100.0,5.000000000000004,95.0,
562,2007-12-26,5231.97,5265.03,5273.14,5194.74,4146811500.0,83694909415.0,5216.81,48.219999999999345,0.92,100.0,0.0,100.0,
563,2007-12-27,5286.98,5367.53,5367.53,5260.1,5234501800.0,109216836244.0,5265.03,102.5,1.95,100.0,0.0,100.0,
564,2007-12-28,5379.52,5338.27,5391.66,5323.82,4536141500.0,95056654641.0,5367.53,-29.25999999999931,-0.55,100.0,5.000000000000004,95.0,
565,2008-01-02,5349.76,5385.1,5404.93,5283.45,4566871000.0,98886433471.0,5338.27,46.82999999999993,0.88,100.0,0.0,100.0,
566,2008-01-03,5381.15,5422.03,5422.67,5315.95,6464587800.0,135983354875.0,5385.1,36.92999999999938,0.69,100.0,0.0,100.0,
567,2008-01-04,5430.63,5483.65,5499.09,5422.46,5174642000.0,118866230641.0,5422.03,61.61999999999989,1.14,100.0,44.99999999999999,55.00000000000001,
568,2008-01-07,5480.44,5556.59,5569.15,5455.5,5348540900.0,123189549972.0,5483.65,72.94000000000051,1.33,100.0,40.0,60.0,
569,2008-01-08,5575.95,5528.05,5630.62,5485.23,6489950100.0,147975753744.0,5556.59,-28.539999999999964,-0.51,100.0,35.0,65.0,
570,2008-01-09,5507.12,5613.76,5614.68,5490.31,4679687200.0,108368103243.0,5528.05,85.71000000000004,1.55,95.0,30.000000000000004,65.0,
571,2008-01-10,5631.65,5672.15,5707.67,5602.59,6422989300.0,144316455605.0,5613.76,58.38999999999942,1.04,100.0,25.0,75.0,
572,2008-01-11,5688.56,5699.15,5702.57,5629.64,5616707900.0,122241534840.0,5672.15,27.0,0.48,95.0,19.999999999999996,75.0,
573,2008-01-14,5717.52,5731.76,5756.92,5679.29,4984601000.0,109356397974.0,5699.15,32.61000000000058,0.57,100.0,15.000000000000002,85.0,
574,2008-01-15,5743.43,5696.45,5754.11,5652.04,5088660800.0,119673141932.0,5731.76,-35.3100000000004,-0.62,95.0,9.999999999999998,85.0,
575,2008-01-16,5642.57,5505.72,5642.57,5498.39,5577446900.0,126634977042.0,5696.45,-190.72999999999956,-3.35,90.0,5.000000000000004,85.0,
576,2008-01-17,5445.8,5365.62,5533.65,5226.64,6193693300.0,136052424646.0,5505.72,-140.10000000000036,-2.54,85.0,0.0,85.0,
577,2008-01-18,5358.18,5414.47,5419.57,5307.5,4391300500.0,95080872876.0,5365.62,48.850000000000364,0.91,80.0,0.0,80.0,
578,2008-01-21,5424.64,5145.73,5434.35,5122.46,4783361700.0,101540050167.0,5414.47,-268.7400000000007,-4.96,75.0,0.0,75.0,
579,2008-01-22,5015.43,4753.87,5032.24,4708.39,6077269200.0,126029341672.0,5145.73,-391.8599999999997,-7.62,70.0,100.0,-30.0,-1.0
580,2008-01-23,4787.17,4975.11,4976.27,4751.5,5577638500.0,111006127504.0,4753.87,221.23999999999978,4.65,65.0,95.0,-30.0,
581,2008-01-24,5034.53,5027.21,5079.8,4926.37,5660598700.0,114169075408.0,4975.11,52.100000000000364,1.05,60.0,90.0,-30.0,
582,2008-01-25,5022.9,5077.43,5121.41,4966.52,4714210800.0,100680076889.0,5027.21,50.220000000000255,1.0,55.00000000000001,85.0,-29.999999999999993,
583,2008-01-28,5038.51,4731.88,5038.51,4711.28,4142528300.0,81460742897.0,5077.43,-345.5500000000002,-6.81,50.0,80.0,-30.0,
584,2008-01-29,4742.9,4762.08,4845.66,4688.73,2906225600.0,58040616586.0,4731.88,30.199999999999818,0.64,44.99999999999999,100.0,-55.00000000000001,-1.0
585,2008-01-30,4817.16,4710.65,4858.1,4606.14,3409897600.0,72219233312.0,4762.08,-51.43000000000029,-1.08,40.0,100.0,-60.0,
586,2008-01-31,4693.61,4620.4,4733.7,4614.28,3085258000.0,64311666805.0,4710.65,-90.25,-1.92,35.0,95.0,-60.0,
587,2008-02-01,4623.62,4571.94,4660.99,4414.12,3512552800.0,67941469336.0,4620.4,-48.460000000000036,-1.05,30.000000000000004,100.0,-70.0,
588,2008-02-04,4695.55,4950.12,4951.25,4695.55,4095314500.0,85660385508.0,4571.94,378.1800000000003,8.27,25.0,95.0,-70.0,
589,2008-02-05,4942.88,4921.83,4995.57,4878.12,3279635600.0,70626096586.0,4950.12,-28.289999999999964,-0.57,19.999999999999996,90.0,-70.0,
590,2008-02-13,4858.81,4816.08,4883.24,4785.8,2147565900.0,43271699299.0,4921.83,-105.75,-2.15,15.000000000000002,85.0,-70.0,
591,2008-02-14,4858.85,4880.25,4913.32,4842.85,1983778900.0,40152820965.0,4816.08,64.17000000000007,1.33,9.999999999999998,80.0,-70.0,
592,2008-02-15,4846.02,4813.31,4846.02,4742.1,2426260100.0,47298764901.0,4880.25,-66.9399999999996,-1.37,5.000000000000004,75.0,-70.0,
593,2008-02-18,4875.22,4910.99,4944.88,4845.31,3059007800.0,61844630483.0,4813.31,97.67999999999938,2.03,0.0,70.0,-70.0,
594,2008-02-19,4926.84,5020.75,5020.75,4885.69,3617696500.0,74207768895.0,4910.99,109.76000000000022,2.23,0.0,65.0,-65.0,
595,2008-02-20,5032.78,4908.72,5062.26,4901.66,3955772200.0,84980855908.0,5020.75,-112.02999999999975,-2.23,0.0,60.0,-60.0,
596,2008-02-21,4878.57,4876.03,4924.45,4796.1,3340361600.0,67932116459.0,4908.72,-32.69000000000051,-0.67,0.0,55.00000000000001,-55.00000000000001,
597,2008-02-22,4850.88,4702.24,4850.88,4649.81,3791862700.0,77110349593.0,4876.03,-173.78999999999996,-3.56,5.000000000000004,50.0,-44.99999999999999,
598,2008-02-25,4704.32,4519.78,4722.64,4510.69,3365200100.0,65323658083.0,4702.24,-182.46000000000004,-3.88,0.0,44.99999999999999,-44.99999999999999,
599,2008-02-26,4637.6,4515.53,4668.83,4394.59,3327639000.0,67625962769.0,4519.78,-4.25,-0.09,15.000000000000002,100.0,-85.0,-1.0
600,2008-02-27,4543.1,4639.77,4660.41,4500.89,2959239300.0,60311456890.0,4515.53,124.24000000000069,2.75,9.999999999999998,95.0,-85.0,
601,2008-02-28,4651.16,4622.06,4670.17,4582.82,2539817100.0,50332555405.0,4639.77,-17.710000000000036,-0.38,5.000000000000004,90.0,-85.0,
602,2008-02-29,4616.24,4674.55,4683.16,4597.63,2335085800.0,47275050938.0,4622.06,52.48999999999978,1.14,0.0,85.0,-85.0,
603,2008-03-03,4648.73,4790.74,4803.9,4611.7,3925841100.0,79684960724.0,4674.55,116.1899999999996,2.49,60.0,80.0,-20.0,
604,2008-03-04,4813.4,4671.15,4836.66,4657.38,4512977700.0,88557686654.0,4790.74,-119.59000000000015,-2.5,55.00000000000001,75.0,-19.999999999999993,
605,2008-03-05,4650.52,4628.72,4689.97,4519.74,3941799300.0,73479598041.0,4671.15,-42.42999999999938,-0.91,50.0,70.0,-20.0,
606,2008-03-06,4645.07,4685.03,4746.58,4592.62,4440226800.0,85710623021.0,4628.72,56.30999999999949,1.22,44.99999999999999,65.0,-20.000000000000007,-1.0
607,2008-03-07,4641.76,4621.69,4693.21,4597.01,2869094500.0,60552444836.0,4685.03,-63.340000000000146,-1.35,40.0,60.0,-20.0,
608,2008-03-10,4588.73,4431.59,4588.77,4406.23,3178035500.0,61147375746.0,4621.69,-190.09999999999945,-4.11,35.0,55.00000000000001,-20.000000000000007,
609,2008-03-11,4393.28,4441.18,4441.18,4315.18,2627659200.0,52344309140.0,4431.59,9.590000000000146,0.22,30.000000000000004,100.0,-70.0,-1.0
610,2008-03-12,4534.81,4309.65,4553.34,4308.35,2714564400.0,55702634312.0,4441.18,-131.53000000000065,-2.96,25.0,100.0,-75.0,
611,2008-03-13,4266.27,4198.96,4296.36,4121.27,3445130700.0,65769466347.0,4309.65,-110.6899999999996,-2.57,19.999999999999996,100.0,-80.0,
612,2008-03-14,4179.44,4157.87,4212.41,4092.79,2342788500.0,45564248765.0,4198.96,-41.090000000000146,-0.98,15.000000000000002,100.0,-85.0,
613,2008-03-17,4138.88,3965.28,4138.88,3958.29,2818096100.0,52376089129.0,4157.87,-192.5899999999997,-4.63,9.999999999999998,100.0,-90.0,
614,2008-03-18,3924.87,3763.95,3996.96,3700.35,3452375100.0,58459478155.0,3965.28,-201.33000000000038,-5.08,5.000000000000004,100.0,-95.0,
615,2008-03-19,3837.6,3888.86,3954.47,3776.3,3789847700.0,68823708412.0,3763.95,124.91000000000031,3.32,0.0,95.0,-95.0,
616,2008-03-20,3833.2,4001.83,4044.69,3658.04,4621294400.0,82432595360.0,3888.86,112.9699999999998,2.9,0.0,100.0,-100.0,
617,2008-03-21,3998.2,4037.83,4083.16,3958.97,4261516300.0,74985408749.0,4001.83,36.0,0.9,0.0,95.0,-95.0,
618,2008-03-24,4086.07,3857.09,4103.57,3857.09,3584243800.0,63943570220.0,4037.83,-180.73999999999978,-4.48,30.000000000000004,90.0,-60.0,
619,2008-03-25,3780.46,3905.77,3937.67,3747.02,3224586300.0,58292419115.0,3857.09,48.679999999999836,1.26,25.0,85.0,-60.0,
620,2008-03-26,3926.86,3914.37,4001.55,3888.02,2803676300.0,52026059303.0,3905.77,8.599999999999909,0.22,19.999999999999996,80.0,-60.0,
621,2008-03-27,3847.44,3748.92,3873.61,3745.88,3200066800.0,55151411007.0,3914.37,-165.44999999999982,-4.23,15.000000000000002,75.0,-60.0,
622,2008-03-28,3712.98,3918.16,3925.86,3661.38,4209677700.0,72726088760.0,3748.92,169.23999999999978,4.51,9.999999999999998,70.0,-60.0,
623,2008-03-31,3802.21,3790.53,3891.66,3780.12,2944084100.0,51166599954.0,3918.16,-127.62999999999965,-3.26,5.000000000000004,65.0,-59.99999999999999,
624,2008-04-01,3776.27,3582.86,3815.16,3566.21,3530346200.0,58962080537.0,3790.53,-207.67000000000007,-5.48,0.0,100.0,-100.0,-1.0
625,2008-04-02,3621.39,3547.98,3698.53,3493.18,4276588400.0,70102758265.0,3582.86,-34.88000000000011,-0.97,5.000000000000004,100.0,-95.0,
626,2008-04-03,3518.22,3650.7,3665.65,3457.62,3298949300.0,54233901216.0,3547.98,102.7199999999998,2.9,0.0,100.0,-100.0,
